Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,2023-11-24,CUST001,Male ,34.0,BEAUTY,2.944950155959839,46.59509354382469,155.03534586726008
2,2023-02-27,CUST002,Female,26.0,Clothing ,2.0082283816360085,481.3842641173407,1087.0855405225234
3,2023-01-13,CUST003,Male,50.0,electronics,0.9978426892626462,28.39410963790215,30.54217581109068
4,2023-05-21,CUST004,male,37.0,Clothing,1.097376391526978,532.68042439675,529.0517864690586
5,,CUST005,Male ,30.0,Beauty,1.9622601122193817,45.06395510571314,102.09993472467171
6,2023-04-25,CUST006,FEMALE,45.0,Beauty ,1.0751896804160292,31.92475078953142,30.04238003218254
7,2023-03-13,CUST007,male,46.0,Clothing,2.02399953595187,26.8705643603132,47.51691324435072
8,2023-02-22,CUST008,Male,30.0,Electronics,3.671776924224098,22.82686736888598,93.67167062487842
9,2023-12-13,CUST009,Male ,63.0,Electronics ,2.01927186776919,282.7119524414937,632.4437980490211
10,2023-10-07,CUST010,FEMALE,52.0,Clothing ,3.978197584244791,52.307365267433894,213.5356877542127
11,2023-02-14,CUST011,Male,23.0,Clothing,2.009819364655727,53.62653603797478,92.16146925891705
12,2023-10-30,CUST012,Male,35.0,Beauty,3.17861336732214,24.42197777177972,71.53658695456902
13,2023-08-05,CUST013,male,22.0,Electronics ,3.033312227942817,524.8228294144143,1500.1443684022875
14,2023-01-17,,MALE,64.0,CLOTHING,4.097472318140436,30.93433186255592,123.78469566862256
15,2023-01-16,CUST015,Female,42.0,Electronics ,4.234397104777601,471.755393247474,2066.9475151137203
16,2023-02-17,CUST016,Male,19.0,clothing,2.724473889310328,523.8297835170631,1423.0722759532343
17,2023-04-22,CUST017,FEMALE,27.0,clothing,4.174350431570578,26.751479736218453,108.9779570391566
18,2023-04-30,CUST018,Female,47.0,Electronics ,1.9272202666777716,25.963094193325386,49.80619608378491
19,2023-09-16,CUST019,FEMALE,,Clothing ,2.0732137320583073,23.690925736501928,53.540470894051985
20,2023-11-05,CUST020,Male,22.0,Clothing,2.9881288888682684,316.1008337633762,869.2097241776257
21,2023-01-14,CUST021,FEMALE,50.0,Beauty ,0.942831264300824,542.9186033675127,522.3108804541698
22,2023-10-15,CUST022,Male ,18.0,CLOTHING,2.173266142694726,46.48060736865076,94.66292760315814
23,2023-04-12,CUST023,Female ,35.0,Clothing,3.8290905740232493,28.370818023097733,117.937457506682
24,2023-11-29,CUST024,Female,49.0,Clothing ,1.0155609555748315,316.2796967433288,291.10695937109966
25,2023-12-26,CUST025,FEMALE,64.0,BEAUTY,1.0418570646451928,54.82374063220979,47.20921108662198
26,2023-10-07,CUST026,Female,28.0,ELECTRONICS,1.9424811821993517,453.1782720591323,1008.537501896859
27,2023-08-03,CUST027,female,38.0,Beauty,2.039855795161961,26.593900242638195,53.88739711329483
28,2023-04-23,,female,43.0,Beauty,0.9907621289603237,546.2022775510687,455.2168907011213
29,2023-08-18,CUST029,Female,42.0,Electronics ,0.971303535792376,27.682313723156483,31.232308411322393
30,2023-10-29,CUST030,Female ,39.0,Beauty ,3.217491639922164,285.7735211609283,911.3117951767016
31,2023-05-23,CUST031,male,44.0,Electronics,3.79418049753654,287.03874086383786,1195.446970227788
32,2023-01-04,CUST032,male,30.0,Beauty ,3.291422872321093,28.166858942996686,86.50683378778966
33,2023-03-23,CUST033,Female,50.0,ELECTRONICS,2.1475848327144367,47.16983820004372,98.98650811378793
34,2023-12-24,CUST034,female,51.0,Clothing,3.1426776521371096,469.06797087706013,137.21616986951443
35,2023-08-05,CUST035,Female,58.0,Beauty ,2.867482100704951,301.5165134889775,849.9207683272575
36,2023-06-24,CUST036,Male ,52.0,Beauty ,3.037207794777774,270.08635105588354,816.5831643388238
37,2023-05-23,CUST037,Female,18.0,beauty,2.8413351759400873,23.601523071682447,74.15032366584752
38,2023-03-21,CUST038,MALE,38.0,Beauty,3.634643510471684,53.18479190724885,205.07517008534796
39,2023-04-21,CUST039,MALE,23.0,Clothing,4.231718530223253,27.42171087467948,108.42362775610424
40,2023-06-22,CUST040,male,45.0,Beauty ,0.9258058243796756,45.03221716442331,50.63457951963222
41,2023-02-22,CUST041,male,34.0,Clothing,2.1747852099093854,24.296276692235217,49.094834188261395
42,2023-02-17,CUST042,male,22.0,clothing,2.963782608378731,309.12931295969594,874.8218667168853
43,2023-07-14,CUST043,Female,48.0,Clothing,1.080478140363354,291.5274219888064,323.5436306564978
44,2023-02-19,CUST044,female,22.0,Clothing,1.0077626977602905,23.987465571420323,24.831673361119044
45,2023-07-03,CUST045,female,55.0,ELECTRONICS,1.077072714903113,32.30747918175851,29.920575854901827
46,2023-06-26,CUST046,Female,20.0,electronics,4.187675132887149,313.39346823569065,1249.2963546604574
47,2023-11-06,CUST047,female,40.0,Beauty ,2.925388283196942,535.8349177188206,1539.5856561481287
48,2023-05-16,CUST048,male,54.0,electronics,2.96950962682874,273.02735952080764,814.1953007040938
49,2023-01-23,CUST049,FEMALE,,Electronics,2.1429009433399244,508.9725553024079,958.6186316166696
50,2023-08-24,CUST050,Female,27.0,Beauty,3.2501350761573384,23.572827225624355,71.94574582922675
51,2023-10-02,CUST051,Male,27.0,BEAUTY,3.244641465924936,23.28227928372551,70.37766209661748
52,2023-03-05,CUST052,female,36.0,Beauty ,1.016114377030362,300.5217998137911,276.197488560791
53,2023-07-13,CUST053,Male,34.0,electronics,2.1068264125538922,49.44404076898498,106.77732770774544
54,2023-02-10,CUST054,FEMALE,38.0,Electronics,3.075662092998777,496.86949905051296,1356.288790912577
55,2023-10-10,CUST055,MALE,31.0,Beauty,3.9783985731405895,28.67155837544983,126.59004806693113
56,2023-05-31,CUST056,FEMALE,26.0,clothing,2.9765527099937885,311.66670115978957,907.1933197035486
57,2023-11-18,CUST057,female,63.0,Beauty,1.0087502942117508,31.12360918708174,32.810404817632566
58,2023-11-13,CUST058,Male,18.0,Clothing,3.912412931145266,312.96221044510395,1211.6853924496281
59,2023-07-05,,Male,62.0,Clothing ,1.0109788409984846,48.68510058096324,47.27420204924947
60,2023-10-23,CUST060,MALE,30.0,BEAUTY,2.8848870135112756,50.2746938001366,137.5784140414669
61,2023-04-09,CUST061,Male,21.0,Beauty,,46.342130920110925,183.29028678759246
